 url, rank, city, growth, company, country, revenue, industry, yrs_on_list
https://www.inc.com/profile/sumup-payments-limited,1,London,14367.7003,Sumup Payments Limited,United Kingdom,55990000,IT Services,1
https://www.inc.com/profile/restel-fast-food-oy,2,Helsinki,13600.7855,Restel Fast Food Oy,Finland,30278736,Travel & Hospitality,1
https://www.inc.com/profile/new-teck-well-service-limited-liability-company,3,Nefteyugansk,11977.8447,New Teck Well Service Limited Liability Company,Russian Federation,48502088,Energy,1
https://www.inc.com/profile/tamitrip-sl,4,Majadahonda,11309.1782,Tamitrip SL,Spain,31651228,Travel & Hospitality,1
https://www.inc.com/profile/maximobility,5,Madrid,9119.31,MaxiMobility,Spain,64628654,Logistics & Transportation,1
https://www.inc.com/profile/octavian-srl,6,Bussolengo,8584.9829,Octavian SRL,Italy,20364548,Computer Hardware,1
https://www.inc.com/profile/interskol-alabuga-power-tools,7,Elabuga,7543.0408,Interskol-Alabuga Power Tools,Russian Federation,18589098,Consumer Products & Services,1
https://www.inc.com/profile/forsee-power,8,Paris,7282.1642,Forsee Power,France,17718006,Energy,1
https://www.inc.com/profile/mp-vatservices-sl,9,MADRID,6542.2771,MP VATSERVICES SL,Spain,139295526,Logistics & Transportation,2
https://www.inc.com/profile/adikteev,10,Paris,6142.5,ADIKTEEV,France,17479000,Media,1
https://www.inc.com/profile/navico-shipping,11,Skopje,5891.0418,Navico Shipping,The former Yugoslav Republic of Macedonia,13160162,Logistics & Transportation,1
https://www.inc.com/profile/smarkets,12,London,5606.2364,Smarkets,United Kingdom,31122384,Financial Services,2
https://www.inc.com/profile/iberdrola-renovables-magyarorszag-kft,13,Budapest,5557.4819,Iberdrola Renovables Magyarorszag Kft.,Hungary,35135169,Energy,1
https://www.inc.com/profile/centar-auto,14,Cakovec,5006.9632,CENTAR AUTO,Croatia,11976033,Retail,1
https://www.inc.com/profile/balyasny-europe-asset-management-llp,15,London,4835.0843,Balyasny Europe Asset Management LLP,United Kingdom,73507390,Financial Services,2
https://www.inc.com/profile/eviso-srl,16,Saluzzo,4827.7434,Eviso S.R.L.,Italy,19760399,Energy,1
https://www.inc.com/profile/ficosa-adas-slu,17,Barcelona,4808.6359,Ficosa Adas SLU,Spain,17890309,Manufacturing,1
https://www.inc.com/profile/united-house-developments-limited,18,West Malling,4759.4289,United House Developments Limited,United Kingdom,21760134,Real Estate,1
https://www.inc.com/profile/ofertia,19,Barcelona,4740.9787,Ofertia,Spain,33003905,Advertising & Marketing,1
https://www.inc.com/profile/am-tecnology-srl,20,Peschiera Borromeo,4632.2465,A.M. Tecnology S.R.L.,Italy,13343752,Logistics & Transportation,1
https://www.inc.com/profile/bonum-capital,21,Moscow,4371.7535,Bonum Capital,Russian Federation,61359657,Financial Services,1
https://www.inc.com/profile/joint-stock-company-efg-asset-management,22,Moscow,4340.1732,Joint Stock Company EFG Asset Management,Russian Federation,39878794,Financial Services,1
https://www.inc.com/profile/meivcore-lda,23,Mangualde,4326.1614,"Meivcore, LDA",Portugal,17499980,Business Products & Services,1
https://www.inc.com/profile/limited-liability-company-vetprodaks,24,Moscow,4275.6901,Limited Liability Company Vetprodaks,Russian Federation,12404775,Consumer Products & Services,1
https://www.inc.com/profile/confectionery-factory-mishkino,25,Kh. Aleksandrovka,4232.2239,Confectionery Factory Mishkino,Russian Federation,19318816,Food & Beverage,1
https://www.inc.com/profile/giugiaro-architettura-srl,26,Torino,4188.223,Giugiaro Architettura S.R.L.,Italy,8917660,Construction,1
https://www.inc.com/profile/hellofresh-se,27,Berlin,4116.6408,HelloFresh SE,Germany,596992000,Consumer Products & Services,1
https://www.inc.com/profile/globalinternet,28,Amsterdam,4084.9811,Globalinternet,Netherlands,15126112,Business Products & Services,1
https://www.inc.com/profile/petroprix-energia-sociedad-limitada,29,Martos,4034.2496,Petroprix Energia Sociedad Limitada.,Spain,72716448,Retail,1
https://www.inc.com/profile/moja-apteka-skopje,30,Karposh,4031.4535,Moja Apteka Skopje,Macedonia,9380961,Health,1
https://www.inc.com/profile/aodesign-institute-1,31,Saint-Petersburg,4022.5259,A.O.Design-Institute 1,Russian Federation,15406209,Construction,1
https://www.inc.com/profile/nizhegorodvtormet,32,Nizhnii Novgorod,4006.5068,Nizhegorodvtormet,Russian Federation,22908518,Environmental Services,1
https://www.inc.com/profile/retail-import,33,Krasnodar,3962.4717,Retail Import,Russian Federation,48540687,Food & Beverage,1
https://www.inc.com/profile/enforcesco-sa,34,Covilha,3962.039,"Enforcesco, S.A.",Portugal,28652323,Energy,1
https://www.inc.com/profile/tellus-doo,35,Nustar,3944.2467,TELLUS d.o.o.,Croatia,14130962,Agriculture & Natural Resources,1
https://www.inc.com/profile/adison-oy,36,Helsinki,3803.1008,Adison Oy,Finland,15105000,Construction,1
https://www.inc.com/profile/elasticsearch-global-bv,37,Amsterdam,3733.1328,Elasticsearch Global B.V.,Netherlands,36570195,IT Services,1
https://www.inc.com/profile/bynder,38,Amsterdam,3677.696,Bynder,Netherlands,11928755,Software,1
https://www.inc.com/profile/aktsionernoe-obshchestvo-finansovo-stroitelnyi-kontsern,39,Orenburg,3603.896,Aktsionernoe Obshchestvo Finansovo-Stroitelnyi Kontsern,Russian Federation,14110103,Real Estate,1
https://www.inc.com/profile/virtus-holdco-limited,40,London,3598.0731,Virtus Holdco Limited,United Kingdom,27511149,IT Services,1
https://www.inc.com/profile/joint-stock-company-adminora,41,Moscow,3582.2577,Joint Stock Company Adminora,Russian Federation,37395389,Software,1
