year,city,growth,workers,company,state_s,revenue,industry,yrsonlist
2018,Eagan,372.1123,4329,Prime Therapeutics,MN,16433210000,Health,7
2018,Santa Ana,363.0638,150000,Allied Universal,CA,5301534000,Security,9
2018,Reston,80.4559,900,Carahsoft Technology,VA,4107537719,Government Services,11
2018,Beverly Hills,110.9724,6200,Endeavor,NY,3541178000,Media,1
2018,Tempe,76.6689,6111,DriveTime,AZ,3267077000,Consumer Products & Services,5
2018,Pittsburgh,81.136,468,ARMADA,PA,2950772000,Logistics & Transportation,2
2018,McKinney,106.2021,3132,SRS Distribution,TX,2183778171,Consumer Products & Services,5
2018,Dallas,216.2477,1563,Pinnacle Group,TX,2110176184,Human Resources,13
2018,Atlanta,58.1746,2570,Insight Global,GA,1928758851,Business Products & Services,11
2018,Hickory,134.1974,510,Transportation Insight,NC,1892660132,Logistics & Transportation,11
2018,Raleigh,341.335,6000,VICTRA,NC,1460373019,Retail,8
2018,The Woodlands,107.8916,5939,Strike,TX,1401259860,Energy,9
2018,Phoenix,71.2137,706,Avella Specialty Pharmacy,AZ,1351981297,Health,12
2018,Lake Mary,210.2303,825,Jeunesse Global,FL,1300731294,Consumer Products & Services,5
2018,Irvine,57.6902,9008,Pacific Dental Services,CA,1186683500,Health,13
2018,Mount Laurel,153.5353,5247,Freedom Mortgage,NJ,1154661039,Financial Services,6
2018,Troy,205.35,2278,United Shore,MI,1085837000,Financial Services,5
2018,Pittsburgh,89.3976,305,Chartwell Pennsylvania,PA,1083738705,Health,1
2018,Oak Brook,83.4094,1162,Readerlink,IL,1051402000,Consumer Products & Services,1
2018,Caledonia,427.8593,4623,Acrisure,MI,1039891000,Insurance,1
2018,Atlanta,240.2862,5167,Epiq,GA,1007138000,Business Products & Services,11
2018,Manasquan,97.4898,19000,Jersey Mike's Subs,NJ,974782877,Food & Beverage,1
2018,Irvine,191.5058,65,PASSCO Companies,CA,900508946,Real Estate,2
2018,Georgetown,92.4644,329,Georgetown Mortgage,TX,884193608,Financial Services,2
2018,Portland,70.5848,1478,Consumer Cellular,OR,811201124,Telecommunications,10
2018,Covington,59.6554,3007,Pro Mach,KY,793005000,Manufacturing,8
2018,White Plains,122.3763,600,PURE Group of Insurance Companies,NY,781333326,Insurance,4
2018,Lubbock,66.0054,655,The Reagor Dykes Auto Group,TX,780907723,Retail,5
2018,Fort Worth,79.0133,830,First American Payment Systems,TX,761630073,Financial Services,1
2018,Chicago,96.9216,3200,Guaranteed Rate,IL,753141733,Financial Services,9
2018,Highlands Ranch,89.1763,1694,Kodiak Building Partners,CO,748744870,Construction,1
2018,Schaumburg,82.898,3398,Convergint Technologies,IL,746597000,Security,2
2018,Boca Raton,750.4743,363,Orangetheory Fitness,FL,738573261,Health,5
2018,Taylor,72.887,380,Atlas Oil Company,MI,691333163,Energy,5
2018,Layton,74.9799,784,Young Automotive Group,UT,677538918,Retail,1
2018,Memphis,108.589,2700,Monogram Foods,TN,670665838,Food & Beverage,10
2018,Portland,118.0505,240,Fortis Construction,OR,615207535,Construction,10
2018,Perrysburg,203.1551,1694,Material Handling Services,OH,614071000,Business Products & Services,5
2018,Kenilworth,189.0891,1500,Diversified,NJ,604777699,Business Products & Services,3
2018,Fort Mill,210.2677,4291,Movement Mortgage,SC,603706174,Real Estate,6
2018,West Chester,76.0858,1902,Lithko Contracting,OH,593783904,Construction,2
2018,King of Prussia,64.0614,1104,Morgan Properties,PA,585636073,Real Estate,1
2018,San Francisco,76.8141,275,Build Group,CA,567822242,Construction,6
2018,Jackson,278.5917,9500,Great Lakes Caring,MI,565175347,Health,10
2018,Atlanta,493.1933,11016,GPS Hospitality,GA,551176689,Food & Beverage,1
2018,King of Prussia,109.9161,715,MedRisk,PA,546495477,Health,12
2018,Birmingham,79.2833,1452,American Family Care,AL,534479340,Health,5
2018,Brentwood,232.7287,3743,Compassus,TN,522905293,Health,2
2018,Carmel,94.3873,1415,American Specialty Health,IN,497438970,Health,9
2018,St Louis,106.3011,1700,MTM,MO,494681378,Logistics & Transportation,2
2018,Chester,61.5926,2356,Power Home Remodeling,PA,486166000,Construction,9
2018,New York City,61.7196,4087,Sterling Talent Solutions,NY,480956135,Business Products & Services,9
2018,Draper,66.9123,3055,Academy Mortgage,UT,471969162,Real Estate,5
2018,St Petersburg,97.8483,1495,Power Design,FL,469644980,Construction,3
2018,Atlanta,307.7387,719,Nolan Transportation Group,GA,468602137,Logistics & Transportation,4
2018,Pittsburgh,5435.9277,92,PANTHERx Specialty Pharmacy,PA,454329217,Health,3
2018,Deer Park,108.7438,2131,Universal Plant Services,TX,453167896,Construction,7
2018,Richfield,122.7667,1068,WMK,OH,444386928,Retail,13
2018,Tustin,121.5414,2685,New American Funding,CA,443028789,Financial Services,6
2018,Brentwood,89.439,5105,Vaco,TN,440846777,Human Resources,12
2018,Dakota Dunes,70.9413,164,Sterling Computers,SD,440807199,Government Services,7
2018,Miami,124.679,700,Windhaven Insurance,FL,434336000,Insurance,3
2018,Alexandria,158.7975,2816,UIC Technical Services,VA,426299000,Government Services,5
2018,Wichita,111.0822,11886,Freddy's Frozen Custard & Steakburgers,KS,410993763,Food & Beverage,7
2018,Elk Grove Village,163.8954,100,Orsini Healthcare,IL,405887949,Health,7
2018,Addison,225.5037,1279,Parts Town,IL,392922000,Business Products & Services,10
2018,San Francisco,151.1265,988,EPIC Insurance Brokers & Consultants,CA,386387036,Insurance,5
2018,Temple,150.9832,951,Janus International Group,GA,386259280,Manufacturing,5
