year,city,growth,workers,company,state_s,revenue,industry,yrsonlist
2011,Nashville,14.2416,194000,HCA,TN,30683000000,Health,2
2010,Nashville,17.9574,192000,HCA,TN,30052000000,Health,2
2012,Lakeland,12.6972,152000,Publix,FL,26967389000,Food & Beverage,2
2011,Lakeland,9.1998,148000,Publix,FL,25134054000,Food & Beverage,2
2018,Eagan,372.1123,4329,Prime Therapeutics,MN,16433210000,Health,7
2010,Dallas,4.0822,20958,7-Eleven,TX,15074130000,Consumer Products & Services,1
2010,Wayne,3.9693,68000,"Toys""R""Us",NJ,13568000000,Retail,1
2013,Vernon Hills,41.404,6800,CDW,IL,10128200000,Computer Hardware,3
2012,Vernon Hills,18.9712,6700,CDW,IL,9602400000,Computer Hardware,3
2011,Vernon Hills,8.0631,6300,CDW,IL,8801200000,Computer Hardware,3
2010,Redmond,8.7275,0,Univar,WA,7194500000,Business Products & Services,1
2011,Fountain Valley,42.7702,4000,Kingston Technology,CA,6475463000,Computer Hardware,5
2009,West Des Moines,25.617,52152,Hy-Vee,IA,6188209001,Food & Beverage,1
2008,Englewood,85.1491,24000,CH2M HILL,CO,5819607830,Construction,3
2009,Englewood,77.3321,25744,CH2M HILL,CO,5589900000,Construction,3
2012,Basking Ridge,12.6752,18588,Avaya,NJ,5547000000,Telecommunications,1
2014,San Francisco,140.9702,646,Pacific Union International,CA,5528202691,Real Estate,4
2011,Englewood,23.9157,23500,CH2M HILL,CO,5422800000,Construction,3
2018,Santa Ana,363.0638,150000,Allied Universal,CA,5301534000,Security,9
2010,McLean,59.6228,23300,Booz Allen Hamilton,VA,5122633000,Government Services,1
2011,Wayne,6.2806,20100,Sungard,PA,4992000000,IT Services,1
2009,Greenwich,357.4806,1300,Maxum Petroleum,CT,4931494000,Energy,2
2014,Beloit,44.0068,7355,ABC Supply,WI,4911166514,Construction,6
2012,San Francisco,8.1949,17000,Levi Strauss,CA,4761566000,Consumer Products & Services,1
2017,Eagan,88.3266,3649,Prime Therapeutics,MN,4730230000,Health,6
2013,Beloit,73.3945,6549,ABC Supply,WI,4650943000,Construction,6
2011,Miami,32.08,3500,BrightStar Global Wireless Solutions,FL,4612863000,Business Products & Services,4
2013,New York,36.4573,10000,Coty,NY,4611300000,Consumer Products & Services,1
2015,Carrollton,604.0649,189,Bridger,TX,4609195258,Energy,3
2012,Evansville,29.8321,0,Berry Plastics Group,IN,4561000000,Manufacturing,1
2012,Beloit,58.2487,6759,ABC Supply,WI,4557967000,Construction,6
2013,Mt. Sterling,34.3834,3919,Dot Foods,IL,4527289905,Food & Beverage,1
2008,Fountain Valley,83.6735,4500,Kingston Technology,CA,4500000000,Computer Hardware,5
2009,Overland Park,269.3268,175,Lansing Trade Group,KS,4420775411,Business Products & Services,1
2009,Gainesville,186.301,271,Mansfield Oil,GA,4357641600,Energy,2
2016,Eagan,113.2428,3936,Prime Therapeutics,MN,4355582000,Health,6
2012,Irving,9.629,50000,Michaels Stores,TX,4197193000,Retail,2
2012,Radnor,10.6911,8200,VWR International,PA,4161100000,Health,1
2010,Fountain Valley,12.2693,4000,Kingston Technology,CA,4140513000,Computer Hardware,5
2014,Franklin,86.5446,109,Eco-Energy Global Biofuels,TN,4138790000,Energy,1
2018,Reston,80.4559,900,Carahsoft Technology,VA,4107537719,Government Services,11
2011,Irving,4.376,38000,Michaels Stores,TX,4031000000,Retail,2
2009,Fountain Valley,33.3333,4500,Kingston Technology,CA,4000000000,Computer Hardware,5
2011,Columbus,49.9606,11000,Momentive Performance Materials Holdings,OH,3806000000,Manufacturing,1
2013,Tarrytown,44.0584,3000,Westcon Group,NY,3757421715,IT Services,1
2015,Twinsburg,137.0937,1301,EnvisionRx,OH,3720000000,Health,3
2012,Menlo Park,1264.3382,3200,Facebook,CA,3711000000,Media,1
2011,Burlington,7.8786,27260,Burlington Coat Factory,NJ,3701100000,Retail,1
2007,Fountain Valley,107.0161,3900,Kingston Technology,CA,3688019000,Computer Hardware,5
2008,Miami,109.8841,1684,BrightStar Global Wireless Solutions,FL,3660068000,Business Products & Services,4
2014,Twinsburg,205.4396,800,EnvisionRx,OH,3644869906,Health,3
2011,Miamisburg,65.8672,7300,Newpage,OH,3596000000,Manufacturing,1
2009,Miami,59.3804,2172,BrightStar Global Wireless Solutions,FL,3590070959,Business Products & Services,4
2007,Miami,197.8119,1684,BrightStar Global Wireless Solutions,FL,3588138473,Business Products & Services,4
2018,Beverly Hills,110.9724,6200,Endeavor,NY,3541178000,Media,1
2014,Carrollton,1792.1589,105,Bridger,TX,3487872233,Energy,3
2015,Eagan,93.0741,3586,Prime Therapeutics,MN,3480783000,Health,6
2013,Huntersville,59.1254,3341,American Tire Distributors,NC,3455864000,Consumer Products & Services,5
2017,Santa Ana,328.8414,140000,Allied Universal,CA,3431623000,Security,8
2017,Reston,98.813,655,Carahsoft Technology,VA,3429501727,Government Services,10
2011,Beloit,29.8932,6187,ABC Supply,WI,3410370033,Construction,6
2011,Nashville,31.7095,20100,Vanguard Health Systems,TN,3376900000,Health,1
2018,Tempe,76.6689,6111,DriveTime,AZ,3267077000,Consumer Products & Services,5
2012,Memphis,7.0363,21000,ServiceMaster,TN,3205872000,Consumer Products & Services,1
2011,Sturtevant,5.1347,680,Diversey,WI,3101277000,Environmental Services,1
2012,Huntersville,55.5575,3167,American Tire Distributors,NC,3050240000,Consumer Products & Services,5
2017,Tempe,115.902,4374,DriveTime,AZ,3034692000,Consumer Products & Services,4
2007,Beloit,66.861,5800,ABC Supply,WI,2991013063,Construction,6
2010,Gainesville,45.326,355,Mansfield Oil,GA,2984351000,Energy,2
2018,Pittsburgh,81.136,468,ARMADA,PA,2950772000,Logistics & Transportation,2
2011,Irvine,52.2908,300,Vizio,CA,2937965000,Consumer Products & Services,5
2016,Reston,101.9653,520,Carahsoft Technology,VA,2867984439,Government Services,10
2013,West Des Moines,65.3751,4589,Kum & Go,IA,2791096000,Retail,5
2012,Franklin,34.9335,14285,IASIS Healthcare,TN,2787099000,Health,4
2013,Boise,40.8337,4470,Boise Cascade,ID,2779000000,Construction,1
2008,Greenwood Village,141.3966,640,CoBank,CO,2763378000,Financial Services,2
2010,Boston,58.0507,2480,LPL Investment Holdings,MA,2749505000,Financial Services,1
2013,Twinsburg,287.8659,670,EnvisionRx,OH,2743946000,Health,3
2017,Pittsburgh,83.5846,459,ARMADA,PA,2692686000,Logistics & Transportation,1
2016,West Des Moines,158.0138,1230,Athene Holding,IA,2624000000,Insurance,1
2016,Tempe,113.0903,4718,DriveTime,AZ,2607298000,Consumer Products & Services,4
2009,Greenwood Village,70.465,702,CoBank,CO,2603000000,Financial Services,2
2012,West Des Moines,28.5838,4000,Kum & Go,IA,2601497648,Retail,5
2009,Novi,41.9831,18000,Cooper-Standard Automotive,MI,2594600000,Manufacturing,1
2011,Franklin,33.2259,12040,IASIS Healthcare,TN,2565780000,Health,4
2014,Eagan,54.3229,3267,Prime Therapeutics,MN,2511716640,Health,6
2012,Omaha,110751.9761,36500,West Corporation,NE,2491325000,Business Products & Services,3
2010,Irvine,295.1153,162,Vizio,CA,2472795269,Consumer Products & Services,5
2012,Parsippany,58.6706,4100,Pinnacle Foods,NJ,2469562000,Food & Beverage,2
2011,Huntersville,31.0892,2300,American Tire Distributors,NC,2461174000,Consumer Products & Services,5
2013,Chicago,140.5619,4036,DLA Piper,IL,2440500000,Business Products & Services,2
2011,Parsippany,60.8932,4600,Pinnacle Foods,NJ,2436703000,Food & Beverage,2
2011,Kansas City,3.8544,20600,AMC Entertainment,MO,2422968000,Media,2
2010,Kansas City,4.972,1200,AMC Entertainment,MO,2417739000,Media,2
2011,Omaha,13.7519,33400,West Corporation,NE,2388211000,Business Products & Services,3
2010,Omaha,28.001,40900,West Corporation,NE,2375748000,Business Products & Services,3
2010,Franklin,53.4169,0,IASIS Healthcare,TN,2361972000,Health,4
2017,Cincinnati,43.1874,3001,Total Quality Logistics,OH,2321116598,Logistics & Transportation,13
2010,City of Industry,55.9682,938,Newegg,CA,2289839000,Computer Hardware,4
2011,City of Industry,22.8971,2168,Newegg,CA,2289839000,Computer Hardware,4
2015,Reston,113.6276,483,Carahsoft Technology,VA,2276200166,Government Services,10
2016,Cincinnati,61.4511,3791,Total Quality Logistics,OH,2239908520,Logistics & Transportation,11
2018,McKinney,106.2021,3132,SRS Distribution,TX,2183778171,Consumer Products & Services,5
2010,Huntersville,37.6314,2328,American Tire Distributors,NC,2171787000,Consumer Products & Services,5
2012,Los Angeles,11.9085,2014,Latham & Watkins,CA,2152000000,Business Products & Services,2
2011,Irvine,410.019,58,Realty ONE Group,CA,2144750120,Real Estate,7
2015,Cincinnati,104.6552,3131,Total Quality Logistics,OH,2142196000,Logistics & Transportation,11
2009,Franklin,39.2121,10000,IASIS Healthcare,TN,2134424000,Health,4
2010,Chicago,38.7648,3949,Baker & McKenzie,IL,2112000000,Business Products & Services,2
2018,Dallas,216.2477,1563,Pinnacle Group,TX,2110176184,Human Resources,13
2009,City of Industry,67.8892,2000,Newegg,CA,2108699000,Computer Hardware,4
2011,Chicago,15.0355,3738,Baker & McKenzie,IL,2104000000,Business Products & Services,2
2010,New York,13.5135,1860,"Skadden, Arps, Slate, Meagher & Flom",NY,2100000000,Business Products & Services,1
2011,West Des Moines,21.4735,3800,Kum & Go,IA,2085655439,Retail,5
2017,Denver,74.4142,1710,Optiv Security,CO,2045879000,Security,2
2013,Eagan,46.6423,2549,Prime Therapeutics,MN,2042546000,Health,6
2009,West Des Moines,75.3383,3894,Kum & Go,IA,2031953191,Retail,5
2015,Tempe,80.1073,3584,DriveTime,AZ,2020744000,Consumer Products & Services,4
2009,Irvine,1313.0042,118,Vizio,CA,2006254000,Consumer Products & Services,5
2011,Ann Arbor,7.2159,10000,Affinia,MI,1991000000,Manufacturing,2
2014,Auburn,67.9592,450,Flyers Energy,CA,1977921907,Energy,1
2011,Chicago,72.8515,3348,DLA Piper,IL,1961000000,Business Products & Services,2
2009,Huntersville,30.2641,2150,American Tire Distributors,NC,1960844000,Consumer Products & Services,5
2015,Chicago,249.3178,1959,Coyote Logistics,IL,1951600000,Logistics & Transportation,8
2013,Houston,207.6553,1640,Sun Coast Resources,TX,1945940138,Energy,6
2013,Chicago,35.6793,1517,Kirkland & Ellis,IL,1937500000,Business Products & Services,4
2008,Irvine,4056.8627,85,Vizio,CA,1929200000,Consumer Products & Services,5
2018,Atlanta,58.1746,2570,Insight Global,GA,1928758851,Business Products & Services,11
2013,Carrollton,23308.1822,50,Bridger,TX,1919062000,Energy,3
2008,Oklahoma City,61.7506,220,Express Employment Professionals,OK,1915011000,Human Resources,2
2016,Miami,86.7822,500,The Related Group,FL,1910689682,Real Estate,1
2018,Hickory,134.1974,510,Transportation Insight,NC,1892660132,Logistics & Transportation,11
2017,Dallas,831.7267,1268,Pinnacle Group,TX,1890058695,Human Resources,12
2016,Denver,97.0888,1512,Optiv Security,CO,1882429001,Security,2
2013,Taylor,73.7686,374,Atlas Oil Company,MI,1878774129,Logistics & Transportation,4
2014,Houston,97.3349,1668,Sun Coast Resources,TX,1868964476,Energy,6
2017,New York City,44.0744,1844,Morgan Lewis,NY,1860000000,Business Products & Services,4
2016,Tucker,59.9661,3700,GMS INC.,GA,1858182000,Construction,1
2016,New York,49.9187,1880,Morgan Lewis,NY,1844000000,Business Products & Services,4
2011,Pittsburgh,48.9943,13086,General Nutrition Centers,PA,1822200000,Health,2
2010,Los Angeles,12.1305,1880,Latham & Watkins,CA,1821000000,Business Products & Services,2
2012,Eagan,56.4462,2154,Prime Therapeutics,MN,1802822000,Health,6
2009,Oklahoma City,16.0004,231,Express Employment Professionals,OK,1796614000,Human Resources,2
2013,Phoenix,268.0231,13200,Sprouts Farmers Market,AZ,1794823000,Consumer Products & Services,4
2017,McKinney,113.6822,2593,SRS Distribution,TX,1778761950,Consumer Products & Services,4
2012,Santa Barbara,22.911,1250,The Select Family of Staffing Companies,CA,1776666000,Human Resources,1
2012,Chicago,25,1442,Kirkland & Ellis,IL,1750000000,Business Products & Services,4
2014,Reston,106.7126,418,Carahsoft Technology,VA,1724988401,Government Services,10
2010,Baton Rouge,21.8296,12251,Turner Industries,LA,1716284565,Construction,3
2010,Bellevue,9.0283,1100,Symetra Financial,WA,1710000000,Insurance,1
2010,West Des Moines,16.1283,3748,Kum & Go,IA,1676741226,Retail,5
2017,Atlanta,82.574,36000,Insight Global,GA,1676696000,IT Services,10
2009,Baton Rouge,96.0657,13210,Turner Industries,LA,1675544000,Construction,3
2009,Pittsburgh,25.7259,13236,General Nutrition Centers,PA,1656700000,Health,2
2012,Cleveland,7.2078,2407,Jones Day,OH,1651000000,Business Products & Services,3
2013,Schaumburg,44.6665,1986,Global Brass and Copper Holdings,IL,1650500000,Manufacturing,1
2014,San Leandro,81.4493,1783,TriNet,CA,1644275000,Human Resources,7
2016,Santa Ana,212.1463,80000,Allied Universal,CA,1641075000,Security,8
2017,Hickory,137.748,421,Transportation Insight,NC,1638270986,Logistics & Transportation,10
2011,Effingham,327.7736,376,Midland States Bank,IL,1634322000,Financial Services,1
2013,Washington,88.8953,2280,Hogan Lovells,DC,1633000000,Business Products & Services,1
2011,Glassport,24.2303,3500,TMS International,PA,1629119000,Manufacturing,1
2012,Allentown,65.1207,129,Lehigh Gas,PA,1628760000,Energy,1
2011,Chicago,24.0458,1379,Kirkland & Ellis,IL,1625000000,Business Products & Services,4
2014,Cincinnati,112.7047,2363,Total Quality Logistics,OH,1621033577,Logistics & Transportation,11
2011,Cleveland,12.1443,2502,Jones Day,OH,1616000000,Business Products & Services,3
2011,Taylor,72.2517,410,Atlas Oil Company,MI,1614847000,Logistics & Transportation,4
2011,Horsham,24.6402,32900,NCO Group,PA,1602163000,Business Products & Services,1
2011,Elmsford,28.1938,13420,Party City,NY,1599094000,Consumer Products & Services,1
2016,Sterling Heights,63.3667,12600,Key Safety Systems,MI,1592767414,Manufacturing,5
2012,Pittsburgh,97.7931,9445,Genco,PA,1559926062,Logistics & Transportation,5
2012,Stamford,8.8872,4500,Affinion Group Holdings,CT,1535200000,Business Products & Services,3
2010,Cleveland,16.0305,2469,Jones Day,OH,1520000000,Business Products & Services,3
2014,Flint,162.3408,1006,Diplomat Specialty Pharmacy,MI,1515139000,Health,6
2013,Cincinnati,173.1165,4000,AdvancePierre Foods,OH,1502990000,Food & Beverage,1
2015,Dallas,128.0789,580,Ambit Energy,TX,1500542859,Energy,6
2017,Knoxville,46.8247,7200,Cellular Sales of Knoxville,TN,1488313857,Retail,9
2010,Omaha,64.3558,7772,HDR,NE,1486207244,Construction,1
2017,Boston,48.9223,1161,Ropes & Gray,MA,1485500000,Business Products & Services,5
2012,Greenwich,8.216,1500,Maxum Petroleum,CT,1484972000,Energy,2
2016,Atlanta,98.8232,15316,Insight Global,GA,1483826894,IT Services,10
2012,Ann Arbor,17.5815,11458,Affinia,MI,1478000000,Manufacturing,2
2013,Pittsburgh,81.6354,10800,Genco,PA,1475639000,Logistics & Transportation,5
2007,City of Industry,174.7642,1470,Newegg,CA,1468145000,Computer Hardware,4
2018,Raleigh,341.335,6000,VICTRA,NC,1460373019,Retail,8
2013,Ponte Vedra,450.5396,5347,Advanced Disposal,FL,1437370000,Environmental Services,1
2016,Knoxville,54.2943,4752,Cellular Sales of Knoxville,TN,1437095068,Retail,9
2010,Chicago,24.7162,1411,Kirkland & Ellis,IL,1428000000,Business Products & Services,4
2012,Coeur D' Alene,388.6022,260,Sunshine Minting,ID,1420509072,Manufacturing,6
2013,Reston,142.3063,365,Carahsoft Technology,VA,1419140562,Government Services,10
2016,McKinney,109.5146,2137,SRS Distribution,TX,1411018720,Consumer Products & Services,4
2007,Baton Rouge,92.9807,11437,Turner Industries,LA,1408759000,Construction,3
2009,Granite Falls,209.1818,1878,Fagen,MN,1408698929,Construction,1
2018,The Woodlands,107.8916,5939,Strike,TX,1401259860,Energy,9
2012,Houston,15.565,1200,Sun Coast Resources,TX,1393926542,Energy,6
2016,Boston,47.0899,1106,Ropes & Gray,MA,1390000000,Business Products & Services,5
2013,Cincinnati,165.2522,2316,Total Quality Logistics,OH,1387360391,Logistics & Transportation,11
2015,Scottsdale,55.118,4908,GoDaddy.com,AZ,1387262000,IT Services,9
2010,Stamford,21.0249,3600,Affinion Group Holdings,CT,1376900000,Business Products & Services,3
2011,Stamford,4.1862,11835,Affinion Group Holdings,CT,1376300000,Business Products & Services,3
2010,Chicago,8.8648,1588,Sidley Austin,IL,1357000000,Business Products & Services,1
2018,Phoenix,71.2137,706,Avella Specialty Pharmacy,AZ,1351981297,Health,12
2015,Sterling Heights,54.164,10200,Key Safety Systems,MI,1345198000,Manufacturing,5
2017,Lake Mary,517.7276,850,Jeunesse Global,FL,1335897130,Consumer Products & Services,4
2011,Virginia Beach,202.1924,420,ADS Tactical,VA,1330840000,Government Services,1
2017,Boston,47.851,1237,Shawmut Design and Construction,MA,1310726000,Construction,11
2010,New York,10.2954,1890,White & Case,NY,1307000000,Business Products & Services,1
2012,Oklahoma City,99.6691,5500,Chesapeake Oilfield Services,OK,1303496000,Energy,1
2018,Lake Mary,210.2303,825,Jeunesse Global,FL,1300731294,Consumer Products & Services,5
2011,Greenbelt,47.7273,1200,Presidio,MD,1300000000,IT Services,1
2017,Foothill Ranch,286.1067,5618,loanDepot,CA,1296453643,Financial Services,3
2017,Phoenix,129.4593,510,Avella Specialty Pharmacy,AZ,1293891865,Health,11
2011,Cisco,254.9611,2262,Frac Tech Services,TX,1286599000,Energy,1
2015,Newton,76.2818,850,Euro-Pro Operating,MA,1285640206,Consumer Products & Services,6
2014,Newton,76.2817,653,Euro-Pro Operating,MA,1285640000,Consumer Products & Services,6
2017,Houston,54.4978,271,G&A Partners,TX,1278620444,Human Resources,13
2016,HOUSTON,136.4918,184,G&A Partners,TX,1271630675,Human Resources,11
2015,Knoxville,79.4324,4608,Cellular Sales of Knoxville,TN,1271490666,Retail,9
2011,Linthicum,28.5856,1100,Wise Metals,MD,1268701000,Manufacturing,1
2016,San Francisco,522.8185,1282,Square,CA,1267118000,Financial Services,1
2009,Baton Rouge,292.675,372,Edgen Murray,LA,1265615000,Energy,3
2009,Houston,42.6367,475,Sun Coast Resources,TX,1237984249,Energy,6
2011,Miami,3,1721,Greenberg Traurig,FL,1236000000,Business Products & Services,2
2010,New York,17.4286,1212,"Weil, Gotshal & Manges",NY,1233000000,Business Products & Services,1
2015,Atlanta,121.547,14207,Insight Global,GA,1220988308,IT Services,10
2014,Dallas,193.6155,625,Ambit Energy,TX,1211399000,Energy,6
2017,Pittsford,56.238,38000,Sutherland Global Services,NY,1205000000,Business Products & Services,10
2011,Sparks,148.2853,2073,Sierra Nevada Corporation,NV,1201502000,Manufacturing,2
2013,Corte Madera,90.6784,2900,Restoration Hardware,CA,1193046000,Retail,1
2017,Louisville,61.7767,18314,Signature HealthCARE,KY,1190445195,Health,5
2018,Irvine,57.6902,9008,Pacific Dental Services,CA,1186683500,Health,13
2016,Hickory,149.1533,378,Transportation Insight,NC,1183942665,Logistics & Transportation,10
2016,Boston,72.6194,1168,Shawmut Design and Construction,MA,1174310103,Construction,6
2010,Miami,12.7343,1707,Greenberg Traurig,FL,1173000000,Business Products & Services,2
2014,Sterling Heights,77.7599,9000,Key Safety Systems,MI,1166718000,Manufacturing,5
2012,national,21.8391,1039,Gibson Dunn,NY,1166000000,Business Products & Services,3
2016,Dallas,388.9403,1936,Pinnacle Group,TX,1161466598,Human Resources,10
2011,Brentwood,48.3256,5036,OHL,TN,1160808000,Logistics & Transportation,1
2011,New York,115.6832,1000,Altour,NY,1154889521,Travel & Hospitality,4
2018,Mount Laurel,153.5353,5247,Freedom Mortgage,NJ,1154661039,Financial Services,6
2009,Taylor,34.2732,250,Atlas Oil Company,MI,1153137529,Logistics & Transportation,4
2015,Santa Ana,209.0704,39486,Allied Universal,CA,1144344243,Security,8
